"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"40","0D","0A","00001210","Hogge Creek Club","1","0","4","0","4","0","5","",""
"40","A","01","00000405","Dayton Toastmasters Club","9","0","17","1","18","0","27","",""
"40","A","01","00000747","City of Dayton Toastmasters Club","3","1","6","2","9","0","12","",""
"40","A","01","00001108","Kittyhawk Club","6","0","9","11","20","0","26","",""
"40","A","01","01330791","Sinclair","2","0","5","1","6","0","8","",""
"40","A","01","01331177","Downtown Morning Toasters","9","0","27","25","52","0","61","P",""
"40","A","02","00001242","Huffman Prairie Toastmasters Club","7","0","13","13","26","0","33","",""
"40","A","02","00002421","Beacon Club","2","0","23","22","45","0","47","S",""
"40","A","02","00004532","Wright-Flyers ","1","0","9","8","17","0","18","",""
"40","A","02","00005586","Command Performers Club","2","0","5","0","5","0","7","",""
"40","A","02","00008187","Tarmac Toastmasters Club","5","0","14","15","29","0","34","",""
"40","A","02","00732139","Wright State Toastmasters","6","0","7","5","12","0","18","",""
"40","A","03","00000553","Megacity Toastmasters Club","2","0","11","8","19","0","21","",""
"40","A","03","00001740","Miami Valley Toastmasters","11","0","24","24","48","0","59","S",""
"40","A","03","00002120","Kettering Toastmasters Club","5","0","19","16","35","0","40","",""
"40","A","03","00631540","Springboro Coffee Talk","4","0","14","8","22","0","26","",""
"40","A","03","02615720","WINning Communicators","4","0","28","24","52","0","56","",""
"40","A","03","03797950","Teradata Toastmasters Club","0","0","0","0","0","20","20","","Charter 04/01/14"
"40","A","04","00001238","Greenville Club","1","0","17","14","31","0","32","",""
"40","A","04","00004341","Lima Eye Openers Club","3","0","6","6","12","0","15","",""
"40","A","04","00005136","Grand Lake Toastmasters Club","8","0","5","6","11","0","19","",""
"40","A","04","00008144","Shelby County Club","2","0","7","8","15","0","17","",""
"40","A","04","01739738","Emerson Climate Toastmasters","7","0","18","21","39","0","46","D",""
"40","A","05","00002159","Aquinas Toastmasters Club","1","0","7","6","13","0","14","",""
"40","A","05","00009297","Vandalia Toastmasters Club","3","0","6","8","14","0","17","",""
"40","A","05","00585063","Springfield Toastmasters Club","8","0","12","17","29","0","37","",""
"40","A","05","00635245","Leaders on the Rise Toastmasters Club","0","0","0","0","0","0","0","",""
"40","A","06","00001694","Dayton United Communicators Club","6","0","10","8","18","0","24","",""
"40","A","06","00588286","Dayton Top Mentors Toastmasters Club","2","0","13","11","24","0","26","",""
"40","A","06","01216711","CMG Headliners","1","0","6","1","7","0","8","",""
"40","A","06","01323782","Deloitte Dayton Office Toastmasters","5","0","13","8","21","0","26","",""
"40","A","06","02158270","Heartbeat Toastmasters","6","0","16","11","27","0","33","",""
"40","A","07","00001206","Mid Day Cabaret Club","5","0","15","12","27","0","32","",""
"40","A","07","00003255","Mound Club 3255","0","0","8","8","16","0","16","",""
"40","A","07","00940665","Toastmasters @ 9797","5","0","10","10","20","0","25","",""
"40","A","07","01126147","LJB Toastmasters","2","0","28","29","57","0","59","",""
"40","B","11","00000859","Northwest Club","16","0","15","16","31","0","47","S",""
"40","B","11","00000959","Columbus Toastmasters Club","5","0","17","13","30","0","35","",""
"40","B","11","00004158","Hilliard Toastmasters Club","10","0","10","9","19","0","29","",""
"40","B","11","00004915","Central Ohio Advanced Club","2","0","11","10","21","0","23","",""
"40","B","11","02451490","2Checkout","14","0","4","1","5","0","19","",""
"40","B","11","03374578","Dynamic DISH Toastmasters","27","0","29","19","48","34","109","","Charter 08/01/13"
"40","B","12","00002246","Excellcomm Club","4","0","13","15","28","0","32","",""
"40","B","12","00002718","Toastmasters @ Tuttle  #2718","8","0","18","16","34","0","42","",""
"40","B","12","00005447","Sawmill Toastmasters Club","6","1","14","11","26","0","32","",""
