"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"40","A","11","00000405","Dayton Toastmasters Club","6","0","19","0","19","0","25","",""
"40","A","11","00001694","Dayton United Communicators Club","0","0","13","1","14","0","14","",""
"40","A","11","00588286","Dayton Top Mentors Toastmasters Club","0","0","14","1","15","0","15","",""
"40","A","11","01331177","Downtown Morning Toasters","6","0","17","1","18","0","24","",""
"40","A","11","02158270","Heartbeat Toastmasters","0","0","1","0","1","0","1","",""
"40","A","12","00002421","Beacon Toastmasters Club","1","0","8","0","8","0","9","",""
"40","A","12","00004532","Wright-Flyers ","0","0","6","0","6","0","6",""," Susp 09/30/24"
"40","A","12","00008187","Tarmac Toastmasters Club","1","0","10","2","12","0","13","",""
"40","A","12","07273470","Wright Way Toastmasters","8","0","19","5","24","0","32","",""
"40","A","13","00002120","Kettering Toastmasters Club","2","0","10","0","10","0","12","",""
"40","A","13","00007241","Hi-Point Club","3","0","8","0","8","0","11","",""
"40","A","13","00631540","Springboro Toastmasters","2","0","12","0","12","0","14","",""
"40","A","13","01739738","Copeland Sidney Toastmasters","1","0","14","4","18","0","19","",""
"40","A","13","04334989","Crown Toastmasters","10","0","15","0","15","0","25","",""
"40","A","13","07264780","Synchrony – CWC","10","0","26","0","26","0","36","",""
"40","A","14","00585063","Springfield Toastmasters Club","2","0","7","0","7","0","9","",""
"40","A","14","05124110","Miami County Toastmasters","1","0","3","0","3","0","4",""," Susp 09/30/24"
"40","A","14","06793986","Assurant-Springfield Toastmasters","5","0","15","0","15","0","20","",""
"40","A","14","07017426","Leaders on the Rise","2","0","7","1","8","0","10","",""
"40","A","14","28678180","Alkermes Toastmasters","0","0","0","0","0","33","33","","Charter 11/01/24"
"40","B","21","00000214","Greater Columbus Toastmasters","3","1","11","3","15","0","18","",""
"40","B","21","00000859","Northwest Club","2","4","8","0","12","0","14","",""
"40","B","21","00002246","Excellcomm Club","2","0","7","1","8","0","10","",""
"40","B","21","02451490","2Checkout","0","0","6","1","7","0","7","",""
"40","B","21","03374578","Dynamic  Growth Toastmasters","0","0","7","1","8","0","8","",""
"40","B","21","03812990","Eagles Toastmasters","1","1","7","0","8","0","9","",""
"40","B","22","00000478","OCLC Toastmasters Club","3","0","13","4","17","0","20","",""
"40","B","22","00004158","Hilliard Toastmasters Club","3","0","8","1","9","0","12","",""
"40","B","22","01131982","Premier Toastmasters","2","0","11","6","17","0","19","",""
"40","B","22","02884105","Dublin Premier TM Club","5","0","9","2","11","0","16","",""
