"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"40","B","41","00002391","Lexington Toastmasters Club","7","0","22","23","45","0","52","P",""
"40","B","41","00002949","Sunrise TM Club","6","0","23","19","42","0","48","",""
"40","B","41","00004942","Wilderness Trace - Advanced Club","2","0","8","7","15","0","17","",""
"40","B","42","00004097","Madco Club","7","1","8","10","19","0","26","",""
"40","B","42","00004271","TM of The Bluegrass Club","10","0","13","15","28","0","38","",""
"40","B","42","00007661","Clark County Toastmasters Club","6","0","13","14","27","0","33","",""
"40","B","42","00008718","Lexington Leaders Club","3","0","12","13","25","0","28","",""
"40","B","43","00002730","Capital City Club","6","0","17","14","31","0","37","",""
"40","B","43","00005517","Lexmark Club","8","0","14","14","28","0","36","",""
"40","B","43","00007305","Downtown Lunch Bunch Toastmasters Club","5","0","18","18","36","0","41","",""
"40","B","43","01183543","Georgetown Royal Toastmasters","2","0","6","5","11","0","13","",""
"40","C","11","00000859","Northwest Club","12","0","10","10","20","0","32","",""
"40","C","11","00004158","Hilliard Toastmasters Club","10","0","7","7","14","0","24","",""
"40","C","11","00004915","Central Ohio Advanced Club","5","0","7","7","14","0","19","",""
"40","C","11","00005093","Battelle Toastmasters Club","8","0","17","17","34","0","42","",""
"40","C","12","00000753","Nationwide Insurance Club","10","0","22","22","44","0","54","S",""
"40","C","12","00002718","Nationwide Club","10","0","19","12","31","0","41","",""
"40","C","12","00994399","The Elite Yack Club","15","0","15","11","26","0","41","",""
"40","C","12","01015118","Nationwide Rings Road","9","0","12","7","19","0","28","",""
"40","C","12","01029419","Nationwide Parkwood","1","0","8","6","14","0","15","",""
"40","C","13","00001745","Columbus Communicators","7","0","10","10","20","0","27","",""
"40","C","13","00001802","Mid-Day Club","28","2","24","34","60","0","88","D",""
"40","C","13","00008082","The Breakfast Club","3","0","39","36","75","0","78","",""
"40","C","13","00952869","AEP Toastmasters","14","0","23","25","48","0","62","S",""
"40","C","13","01029504","AEP Power Speakers","6","0","15","16","31","0","37","",""
"40","C","14","00000214","The Greater Columbus Toastmasters","4","0","17","11","28","0","32","",""
"40","C","14","00000478","OCLC Toastmasters Club","16","0","23","19","42","0","58","S",""
"40","C","14","00001028","Worthington Club","8","1","18","15","34","0","42","",""
"40","C","14","00005447","Sawmill Toastmasters Club","17","0","17","23","40","0","57","",""
"40","C","14","01149175","Ashland Blazers","3","0","8","6","14","0","17","",""
"40","C","14","01293737","MY CATALYST TMC","9","0","3","8","11","0","20","D",""
"40","C","14","01508639","Scotts Gro-Masters","18","0","28","33","61","0","79","S",""
"40","C","14","01684414","Marysville E.C.H.O.S.","0","0","0","0","0","27","27","","Charter 04/11/11"
"40","C","15","00004695","Unity Club","17","1","27","22","50","0","67","",""
"40","C","15","00749359","Anthem Toastmasters On High Club","4","0","10","13","23","0","27","",""
"40","C","15","01131982","Premier Toastmasters","26","0","24","39","63","0","89","D",""
"40","C","15","01276053","Technical Talkers","9","0","15","18","33","0","42","",""
"40","C","15","01423343","City of Columbus","1","0","12","11","23","0","24","",""
"40","C","16","00005155","Down On Third Toastmasters Club","10","0","14","16","30","0","40","D",""
"40","C","16","00009099","Children's Hospital Club","1","0","13","11","24","0","25","",""
"40","C","16","00621016","Brewery District Club","11","0","35","31","66","0","77","S",""
"40","E","21","00000257","Zanesville Toastmasters Club","0","0","9","6","15","0","15","",""
"40","E","21","00000511","Moundbuilders Club","21","0","25","22","47","0","68","S",""
"40","E","21","00002698","The Good Neighbor Toastmasters Club","18","0","24","24","48","0","66","S",""
"40","E","21","00003182","New Albany Toastmasters","1","0","21","16","37","0","38","",""
"40","E","21","01254252","The New Frontiers","7","0","11","14","25","0","32","",""
"40","E","22","00008226","Gahanna Club","7","0","24","23","47","0","54","D",""
"40","E","22","00950432","Toaster Treats","3","0","37","20","57","0","60","",""
"40","E","22","01030644","AEP Kilowattmasters","8","0","24","23","47","0","55","",""
"40","E","22","01257830","Fearless Voice","3","0","9","11","20","0","23","",""
"40","E","22","01293730","New Albany Communicators","0","0","0","22","22","22","44","","Charter 03/29/11"
"40","E","22","01351987","Safe Auto Diamonds","1","0","11","8","19","0","20","",""
"40","E","23","00002246","Excellcomm Club","2","0","7","7","14","0","16","",""
"40","E","23","00003002","Columbus-Whitehall Club","3","1","15","16","32","0","35","",""
"40","E","23","00003500","AGOISSI Toastmasters Club","11","0","24","26","50","0","61","S",""
"40","E","23","00007114","DFAS-CO Toastmasters Club","10","0","23","20","43","0","53","",""
"40","E","23","00008739","TM at Pickerington Club","8","0","16","14","30","0","38","",""
"40","E","24","00003552","North Star Club","12","0","16","15","31","0","43","",""
"40","E","24","00003885","Podium Pros Toastmasters Club","11","0","32","28","60","0","71","S",""
"40","E","24","00005156","Delaware Toastmasters","7","0","15","16","31","0","38","D",""
"40","E","24","00588225","FearBreakers Toastmasters Club","11","1","12","20","33","0","44","",""
"40","E","24","00656587","Polaris Toastmasters Club","13","0","26","19","45","0","58","D",""
"40","E","24","01477745","Club 370","0","0","0","0","0","22","22","","Charter 04/22/11"
"40","E","25","00585924","Textbook Talkers Toastmasters Club","9","0","33","31","64","0","73","",""
"40","E","25","00647621","SOAR Toastmasters Club","6","0","13","12","25","0","31","",""
"40","E","25","00830650","Five Points Toastmasters","11","3","7","7","17","0","28","",""
"40","E","25","00950446","Flying Toasters Club","7","1","16","16","33","0","40","",""
"40","E","26","00000524","Franklin Club","12","0","27","29","56","0","68","",""
"40","E","26","00000959","Columbus Toastmasters Club","1","0","10","7","17","0","18","",""
"40","E","26","00004300","Achievement In Speaking Club","4","0","15","8","23","0","27","",""
"40","E","26","01045500","ICC Toastmasters Club","9","0","13","11","24","0","33","",""
"40","L","52","00009056","Miami Valley Innovation Center Club","6","0","3","4","7","0","13","",""
"40","L","52","00641256","CIC Speaks Toastmasters Club","8","1","25","29","55","0","63","D",""
"40","L","52","01113018","Union Central Toastmasters","2","0","7","3","10","0","12","",""
"40","L","52","01299268","Miami Masters Toastmasters Club","17","0","9","8","17","0","34","",""
"40","L","53","00000472","Cincinnati Club","18","0","24","24","48","0","66","S",""
"40","L","53","00007780","A Toast Of The Town, Kenwood Toastmasters Club","4","0","18","15","33","0","37","",""
"40","L","53","00008119","ACE Advanced Communicators & Evaluators","2","0","10","11","21","0","23","",""
"40","L","53","00907534","FTMT on Campus","4","0","15","11","26","0","30","",""
"40","L","54","00000870","Tri-County Toastmasters Club","11","0","15","15","30","0","41","",""
"40","L","54","00003456","Standing Room Only","1","0","11","11","22","0","23","",""
"40","L","54","00006444","Springdale Communicators Toastmasters Club","13","0","19","17","36","0","49","",""
"40","L","54","01287825","WCT Talkers","18","0","3","16","19","0","37","",""
"40","L","54","01687673","513 Speakeasy","0","0","0","20","20","20","40","","Charter 03/30/11"
"40","L","55","00003426","CinToast Club","11","0","24","25","49","0","60","P",""
"40","L","55","00005008","Mason Town Criers Toastmasters Club","4","1","12","13","26","0","30","",""
"40","L","55","00008323","Wilmington Expressives","2","0","8","7","15","0","17","",""
"40","L","55","00935335","Gift of Speech Club","10","3","6","11","20","0","30","",""
"40","L","56","00001578","Seven Hills Toastmasters","5","0","14","16","30","0","35","",""
"40","L","56","00008634","Wry Toasters Club","2","0","10","8","18","0","20","",""
"40","L","56","00621796","GE Toasters Club","9","0","14","18","32","0","41","",""
"40","L","56","01160434","BTC (Building Tomorrow's Communicators)","8","1","18","15","34","0","42","",""
"40","L","56","01381778","GyroHSR Communicators","8","0","22","19","41","0","49","",""
"40","L","56","01797148","Macy's Toastmastars","0","0","0","0","0","22","22","","Charter 04/29/11"
"40","L","58","00003804","A Toast of Blue Ash Club","0","0","7","6","13","0","13","",""
"40","L","58","00004251","Park 42 Club","3","0","11","6","17","0","20","",""
"40","L","58","00005226","MBC Club","0","0","11","9","20","0","20","",""
"40","L","58","00620518","Speakeasy Club","11","0","26","31","57","0","68","",""
"40","L","58","00642205","Anthem Express Club","5","0","12","11","23","0","28","",""
"40","L","58","01596003","Toast-It Notes","0","0","0","22","22","22","44","","Charter 02/28/11"
"40","M","61","00000526","Lancaster Toastmasters Club","1","0","13","14","27","0","28","",""
"40","M","61","00004113","Marietta Toastmasters","7","0","8","5","13","0","20","",""
"40","M","61","00707357","The Athenian Toastmasters Club","3","0","15","16","31","0","34","",""
"40","M","61","00826327","Camp Sherman Club","1","0","8","1","9","0","10","",""
"40","M","61","01052127","Morgan County Communicators","1","0","20","13","33","0","34","",""
"40","M","61","01280179","OU Sales Centre","12","0","7","3","10","0","22","",""
"40","M","62","00001848","Marvin G Rook Club","0","0","9","0","9","0","9","",""
"40","M","62","00002005","Dobson - Craddock Toastmasters","5","0","16","18","34","0","39","",""
"40","M","62","00002869","Huntington Centennial Toastmasters Club","5","0","15","10","25","0","30","",""
"40","M","62","01225451","Toastmasters Unlimited","4","0","7","9","16","0","20","",""
"40","M","63","00002891","Ted Romine Toastmasters Club","4","0","20","15","35","0","39","",""
"40","M","63","00006455","Charleston Toastmasters","4","3","13","9","25","0","29","",""
"40","M","63","01117305","Toastmasters Beckley","2","0","7","5","12","0","14","",""
"40","M","63","01136450","New River","2","0","9","9","18","0","20","",""
"40","M","63","01371065","CASCI Toastmasters","13","0","26","30","56","0","69","",""
"40","N","01","00000405","Dayton Toastmasters Club","4","0","16","15","31","0","35","",""
"40","N","01","00000747","City of Dayton Toastmasters Club","2","0","14","12","26","0","28","",""
"40","N","01","00001108","Kittyhawk Club","4","0","7","7","14","0","18","",""
"40","N","01","01216711","C.O.P. Headliners","2","0","8","9","17","0","19","",""
"40","N","01","01330791","Sinclair","1","0","11","8","19","0","20","",""
"40","N","01","01331177","Downtown Morning Toasters","6","0","25","20","45","0","51","S",""
"40","N","02","00001242","Huffman Prairie Toastmasters Club","5","0","14","15","29","0","34","",""
"40","N","02","00004532","Wright-Flyers","9","0","6","13","19","0","28","",""
"40","N","02","00005586","Command Performers Club","2","0","5","6","11","0","13","",""
"40","N","02","00008187","Tarmac Toastmasters Club","4","0","16","14","30","0","34","",""
"40","N","02","00008263","Presidential Drive Toastmasters","4","0","7","9","16","0","20","",""
"40","N","03","00001740","Miami Valley Club","4","0","13","13","26","0","30","",""
"40","N","03","00002120","Kettering Toastmasters Club","8","1","24","19","44","0","52","S",""
"40","N","03","01126147","LJB Toastmasters","4","0","17","20","37","0","41","",""
"40","N","04","00001210","Hogge Creek Club","2","0","10","10","20","0","22","",""
"40","N","04","00004341","Lima Eye Openers Club","2","0","7","8","15","0","17","",""
"40","N","04","00005136","Grand Lake Toastmasters Club","2","0","10","9","19","0","21","",""
"40","N","04","00007241","Hi-Point Club","4","0","9","7","16","0","20","",""
"40","N","04","00008144","Shelby County Club","5","0","10","15","25","0","30","",""
"40","N","05","00002159","Aquinas Toastmasters Club","0","0","9","9","18","0","18","",""
"40","N","05","00002838","Xenia Toastmasters Club","0","0","13","12","25","0","25","",""
"40","N","05","00585063","Springfield Toastmasters Club","9","0","14","15","29","0","38","",""
"40","N","05","00635245","Leaders on the Rise Toastmasters Club","15","0","8","9","17","0","32","",""
"40","N","06","00002421","Beacon Club","5","0","16","17","33","0","38","",""
"40","N","06","00004041","Fairborn Club","4","0","7","6","13","0","17","",""
"40","N","06","00588286","Dayton Top Mentors Toastmasters Club","1","0","7","7","14","0","15","",""
"40","N","06","00732139","Wright State Toastmasters","3","1","6","6","13","0","16","",""
"40","N","07","00000553","Megacity Toastmasters Club","8","0","10","11","21","0","29","",""
"40","N","07","00001206","Mid Day Cabaret Club","3","0","19","18","37","0","40","",""
"40","N","07","00003255","Mound Club","0","0","7","7","14","0","14","",""
"40","N","07","00631540","Springboro Coffee Talk","3","0","11","10","21","0","24","",""
"40","N","07","00940665","Toastmasters @ 9797","3","0","20","18","38","0","41","",""
"40","N","07","01174831","Lastar Toastmasters Club","0","0","20","20","40","0","40","",""
"40","N","08","00000655","Kanpai Club","5","0","8","9","17","0","22","",""
"40","N","08","00001238","Greenville Club","0","0","28","21","49","0","49","D",""
"40","N","08","00001694","Dayton United Communicators Club","10","0","6","6","12","0","22","",""
"40","N","08","00009297","Vandalia Toastmasters Club","3","0","8","8","16","0","19","",""
"40","N","08","01523655","Wayne HealthCare Toastmasters","0","0","0","20","20","19","39","","Charter 03/24/11"
"40","W","31","00000453","Pioneer Toastmasters Club","4","0","19","22","41","0","45","",""
"40","W","31","00001223","Triangle Toastmasters Club","9","0","10","12","22","0","31","",""
"40","W","31","00008416","Articulate Revenuers Toastmasters Club","2","0","13","12","25","0","27","",""
"40","W","31","00593263","Northern Kentucky Toastmasters Club","8","0","14","17","31","0","39","",""
"40","W","31","01153372","Voice of Independence","5","0","16","14","30","0","35","",""
"40","W","31","01492783","Northern Narrators","1","0","0","41","41","43","85","","Charter 10/25/10"
"40","W","32","00001861","Mt. Auburn Toastmasters","3","0","10","11","21","0","24","",""
"40","W","32","00006474","High Achievers Toastmasters Club","7","0","6","9","15","0","22","",""
"40","W","32","00009319","Cincinnati NIOSH Club","3","0","15","13","28","0","31","",""
"40","W","32","00922067","Environmentally Speaking","8","0","25","25","50","0","58","D",""
"40","W","32","01176584","The Voice of US","10","0","21","19","40","0","50","D",""
"40","W","33","00003459","Great American Speakers Club","5","0","32","29","61","0","66","P",""
"40","W","33","00007083","Cheers Toastmasters","15","0","17","20","37","0","52","P",""
"40","W","33","00740572","Toastmasters on the Square Club","7","0","10","12","22","0","29","",""
"40","W","33","00742749","Kroger Food for Thought Club","5","0","22","1","23","0","28","",""
"40","W","33","00780791","A Matter of Speaking Toastmasters Club","3","0","21","10","31","0","34","",""
"40","W","33","01491854","A Toast to Genius","3","0","0","11","11","21","35","","Charter 11/24/10"
"40","W","34","00002126","Downtown Toastmasters Club","8","0","17","22","39","0","47","",""
"40","W","34","00002142","Toast-N-Talk Club","6","0","18","15","33","0","39","",""
"40","W","34","00009531","Toast Of Broadway Toastmasters Club","6","0","25","15","40","0","46","",""
"40","W","34","00735462","i-Speak Club","4","0","7","5","12","0","16","",""
"40","W","34","00784864","Speak 2 Connect","5","0","4","2","6","0","11","",""
"40","W","34","01412767","Nielsen Cincinnati Toastmasters","4","0","18","12","30","0","34","",""
"40","W","35","00001249","West Hills Toastmasters Club","1","0","16","8","24","0","25","",""
"40","W","35","00008020","Bearcat Toastmasters Club","15","0","20","20","40","0","55","S",""
"40","W","35","00819783","Cincinnati State Toastmasters Club","1","1","6","5","12","0","13","",""
"40","W","35","01655418","MSD Sewer Talk","0","0","0","26","26","26","52","","Charter 02/28/11"
"40","W","36","00001941","Anderson Hills Toastmasters Club","5","0","8","8","16","0","21","",""
"40","W","36","00002289","T.A.L.K. Club","5","0","20","20","40","0","45","D",""
"40","W","36","00009523","TV Toastmasters Club","6","0","14","19","33","0","39","D",""
"40","W","36","00922409","Midland Ace's Club","5","0","13","14","27","0","32","",""
"40","W","36","00922412","Modern Voices Club","4","0","17","16","33","0","37","",""
"40","W","36","01547441","SHPeak","0","0","0","0","0","19","19","","Charter 03/15/11"
