"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"40","A","01","00000405","Dayton Toastmasters Club","4","0","13","15","28","0","32","",""
"40","A","01","00000747","City of Dayton Toastmasters Club","1","0","8","2","10","0","11","",""
"40","A","01","00001108","Kittyhawk Club","3","0","8","9","17","0","20","",""
"40","A","01","01331177","Downtown Morning Toasters","4","0","30","19","49","0","53","",""
"40","A","01","02158270","Heartbeat Toastmasters","12","0","21","22","43","0","55","",""
"40","A","02","00001242","Huffman Prairie Toastmasters Club","8","0","11","11","22","0","30","",""
"40","A","02","00002421","Beacon Toastmasters Club","3","0","14","9","23","0","26","",""
"40","A","02","00004532","Wright-Flyers ","7","0","18","17","35","0","42","",""
"40","A","02","00008187","Tarmac Toastmasters Club","2","0","8","10","18","0","20","",""
"40","A","02","07017426","Leaders on the Rise","5","0","8","6","14","0","19","",""
"40","A","03","00000553","Megacity Toastmasters Club","0","0","8","6","14","0","14","",""
"40","A","03","00001740","Miami Valley Toastmasters","2","0","11","10","21","0","23","",""
"40","A","03","00002120","Kettering Toastmasters Club","5","0","15","14","29","0","34","",""
"40","A","03","00631540","Springboro Toastmasters","4","0","12","8","20","0","24","",""
"40","A","03","03797950","Teradata Toastmasters Club","0","0","0","0","0","0","0","",""
"40","A","04","00001238","Greenville Club","0","0","12","11","23","0","23","",""
"40","A","04","00004341","Lima Eye Openers Club","1","0","7","5","12","0","13","",""
"40","A","04","00005136","Grand Lake Toastmasters Club","2","0","10","10","20","0","22","",""
"40","A","04","00007241","Hi-Point Club","2","1","10","8","19","0","21","",""
"40","A","04","01739738","Emerson Toastmasters - Sidney, Ohio","7","0","17","15","32","0","39","",""
"40","A","04","04334989","Crown Toastmasters","14","0","42","10","52","0","66","",""
"40","A","04","05709494","Eight Bottles of Tide","0","0","0","0","0","0","0","",""
"40","A","05","00009297","Vandalia Toastmasters Club","2","0","9","8","17","0","19","",""
"40","A","05","00585063","Springfield Toastmasters Club","6","0","11","15","26","0","32","",""
"40","A","05","05124110","Miami County Toastmasters","9","1","17","19","37","0","46","",""
"40","A","05","06547513","Cause-Driven Toastmasters","4","1","18","17","36","0","40","",""
"40","A","05","06793986","Assurant-Springfield Toastmasters","32","0","11","26","37","0","69","",""
"40","A","06","00001206","RELX Communicators","6","0","10","12","22","0","28","",""
"40","A","06","00001694","Dayton United Communicators Club","5","0","24","15","39","0","44","",""
"40","A","06","00588286","Dayton Top Mentors Toastmasters Club","0","0","8","6","14","0","14","",""
"40","A","06","02615720","WINning Communicators","1","0","10","8","18","0","19","",""
"40","B","11","00000214","Greater Columbus Toastmasters","7","0","10","9","19","0","26","",""
"40","B","11","00000859","Northwest Club","9","2","19","14","35","0","44","",""
"40","B","11","00004158","Hilliard Toastmasters Club","12","0","10","12","22","0","34","",""
"40","B","11","02451490","2Checkout","8","0","9","8","17","0","25","",""
"40","B","11","03374578","Dynamic  Growth Toastmasters","6","0","3","7","10","0","16","",""
"40","B","12","00002718","Masterminds At Grandview Yard","5","0","7","8","15","0","20","",""
"40","B","12","01015118","Masters of the Yard","3","0","1","0","1","0","4","",""
"40","B","12","03812990","Eagles Toastmasters","8","0","14","8","22","0","30","",""
"40","B","12","05819394","The Toastmasters At OSU Wexner Medical Center","3","1","12","9","22","0","25","",""
"40","B","12","06743347","Toastmasters International At OSU","6","0","3","4","7","0","13","",""
"40","B","13","00005156","Delaware Toastmasters","7","0","10","14","24","0","31","",""
"40","B","13","01293737","MY CATALYST TMC","4","0","15","14","29","0","33","",""
"40","B","13","01508639","Scotts Gro-Masters","4","0","26","23","49","0","53","",""
"40","B","13","01684414","Marysville E.C.H.O.S.","1","0","16","0","16","0","17","",""
"40","B","14","01131982","Premier Toastmasters","8","0","27","23","50","0","58","",""
"40","B","14","01276053","Essential To Leadership","8","0","9","14","23","0","31","",""
"40","B","14","06133241","Women With Voices","25","0","6","8","14","0","39","",""
"40","B","14","06722000","Wings With Voices","4","0","7","9","16","0","20","",""
"40","B","15","00000959","Columbus Toastmasters Club","7","0","11","12","23","0","30","",""
"40","B","15","00001028","Worthington Toastmasters","6","0","12","12","24","0","30","",""
"40","B","15","00004695","Unity Club","5","0","14","12","26","0","31","",""
"40","B","15","00004915","Central Ohio Advanced Club","0","0","15","13","28","0","28","",""
"40","B","15","01825615","Progressive Speaking Club","3","0","11","10","21","0","24","",""
"40","B","16","00000478","OCLC Toastmasters Club","2","0","20","19","39","0","41","",""
"40","B","16","00002246","Excellcomm Club","2","0","16","12","28","0","30","",""
"40","B","16","00005447","Sawmill Toastmasters Club","3","0","8","8","16","0","19","",""
"40","B","16","02884105","Dublin Premier TM Club","0","0","8","8","16","0","16","",""
"40","B","16","04181643","Dublin Advanced Toastmasters","8","0","8","13","21","0","29","",""
"40","C","21","00647621","SOAR Toastmasters Club","6","0","26","0","26","0","32","",""
"40","C","21","00656587","Polaris Toastmasters Club","11","0","31","22","53","0","64","",""
"40","C","21","01477745","TEAM Toastmasters Club","4","0","13","13","26","0","30","",""
"40","C","21","02289063","Toast What Matters","15","0","20","16","36","0","51","",""
"40","C","21","04309899","Toast of the Town","1","0","17","12","29","0","30","",""
"40","C","21","06414354","460° Toastmasters Club","5","0","11","5","16","0","21","",""
