"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"40","A","01","00000405","Dayton Toastmasters Club","4","0","16","13","29","0","33","",""
"40","A","01","00000747","City of Dayton Toastmasters Club","17","0","4","13","17","0","34","",""
"40","A","01","00001108","Kittyhawk Club","1","0","10","10","20","0","21","",""
"40","A","01","01330791","Sinclair","0","0","5","0","5","0","5","",""
"40","A","01","01331177","Downtown Morning Toasters","12","0","22","24","46","0","58","P",""
"40","A","02","00001242","Huffman Prairie Toastmasters Club","4","0","15","14","29","0","33","",""
"40","A","02","00002421","Beacon Toastmasters Club of Beavercreek","8","0","25","20","45","0","53","P",""
"40","A","02","00004532","Wright-Flyers ","12","0","11","11","22","0","34","",""
"40","A","02","00008187","Tarmac Toastmasters Club","8","0","9","16","25","0","33","S",""
"40","A","02","00732139","Wright State Toastmasters","9","0","5","6","11","0","20","",""
"40","A","03","00000553","Megacity Toastmasters Club","4","0","10","10","20","0","24","",""
"40","A","03","00001740","Miami Valley Toastmasters","10","0","17","16","33","0","43","",""
"40","A","03","00002120","Kettering Toastmasters Club","12","0","25","22","47","0","59","",""
"40","A","03","00631540","Springboro Coffee Talk","3","1","13","9","23","0","26","",""
"40","A","03","02615720","WINning Communicators","4","0","27","23","50","0","54","D",""
"40","A","04","00001238","Greenville Club","0","1","9","8","18","0","18","",""
"40","A","04","00004341","Lima Eye Openers Club","2","0","5","5","10","0","12","",""
"40","A","04","00005136","Grand Lake Toastmasters Club","0","0","10","10","20","0","20","",""
"40","A","04","00007241","Hi-Point Club","5","0","7","6","13","0","18","",""
"40","A","04","00008144","Shelby County Club","0","0","0","0","0","0","0","",""
"40","A","04","01739738","Emerson Climate Toastmasters","5","0","17","18","35","0","40","",""
"40","A","04","04334989","Crown Toastmasters","25","0","53","62","115","0","140","S",""
"40","A","06","00001694","Dayton United Communicators Club","6","1","9","11","21","0","27","",""
"40","A","06","00009297","Vandalia Toastmasters Club","2","0","9","9","18","0","20","",""
"40","A","06","00585063","Springfield Toastmasters Club","6","0","20","20","40","0","46","P",""
"40","A","06","00588286","Dayton Top Mentors Toastmasters Club","1","0","8","8","16","0","17","",""
"40","A","06","01323782","Deloitte Dayton Office Toastmasters","0","0","0","0","0","0","0","",""
"40","A","06","02158270","Heartbeat Toastmasters","11","0","11","16","27","0","38","",""
"40","A","06","05124110","Miami County Toastmasters","1","0","0","22","22","22","45","","Charter 03/06/16"
"40","A","07","00001206","RELX Communicators","5","0","13","14","27","0","32","",""
"40","A","07","00940665","Toastmasters @ 9797","3","0","8","8","16","0","19","",""
"40","A","07","01126147","LJB Toastmasters","0","0","27","20","47","0","47","",""
"40","A","07","03797950","Teradata Toastmasters Club","2","0","11","8","19","0","21","",""
"40","B","11","00000214","Greater Columbus Toastmasters","1","0","10","0","10","0","11","",""
"40","B","11","00000859","Northwest Club","10","0","11","9","20","0","30","",""
"40","B","11","00004158","Hilliard Toastmasters Club","11","0","11","13","24","0","35","",""
"40","B","11","02451490","2Checkout","14","0","9","13","22","0","36","",""
"40","B","11","03374578","Dynamic DISH Toastmasters","13","0","19","19","38","0","51","",""
"40","B","12","00002246","Excellcomm Club","3","0","16","16","32","0","35","",""
"40","B","12","00002718","Toastmasters @ Tuttle  #2718","10","0","14","9","23","0","33","",""
"40","B","12","00005447","Sawmill Toastmasters Club","6","0","11","9","20","0","26","",""
"40","B","12","01015118","Rings Road Toastmasters","8","0","5","5","10","0","18","",""
"40","B","12","03812990","Eagles Toastmasters","7","0","17","14","31","0","38","",""
"40","B","13","00002159","Aquinas Toastmasters Club","0","0","5","0","5","0","5","",""
"40","B","13","00005156","Delaware Toastmasters","10","0","14","11","25","0","35","",""
"40","B","13","01293737","MY CATALYST TMC","8","0","13","15","28","0","36","",""
"40","B","13","01508639","Scotts Gro-Masters","14","0","27","30","57","0","71","S",""
"40","B","13","01684414","Marysville E.C.H.O.S.","0","0","21","0","21","0","21","",""
"40","B","14","00000478","OCLC Toastmasters Club","9","0","18","20","38","0","47","",""
"40","B","14","01131982","Premier Toastmasters","26","0","28","34","62","0","88","P",""
"40","B","14","01149175","Trailblazers","3","0","5","3","8","0","11","",""
"40","B","14","01276053","Essential To Leadership","6","0","8","10","18","0","24","",""
"40","B","14","02884105","Dublin Premier TM Club","7","0","9","10","19","0","26","",""
"40","B","14","04181643","Dublin Advanced Toastmasters","2","0","15","12","27","0","29","",""
"40","B","14","04949096","IGS Toastmasters Club","0","0","0","0","0","31","31","","Charter 01/15/16"
"40","B","15","00000959","Columbus Toastmasters Club","5","1","15","11","27","0","32","",""
"40","B","15","00001028","Worthington Toastmasters","6","0","11","5","16","0","22","",""
"40","B","15","00004695","Unity Club","13","0","17","6","23","0","36","",""
"40","B","15","00004915","Central Ohio Advanced Club","9","0","9","12","21","0","30","",""
"40","B","15","00749359","Anthem Toastmasters On High Club","1","0","8","0","8","0","9","",""
"40","B","15","01825615","Progressive Speaking Club","13","0","15","14","29","0","42","",""
"40","C","21","00647621","SOAR Toastmasters Club","20","0","35","37","72","0","92","S",""
"40","C","21","00656587","Polaris Toastmasters Club","11","0","18","20","38","0","49","S",""
"40","C","21","01477745","TEAM Toastmasters Club","17","1","17","26","44","0","61","S",""
"40","C","21","02289063","Toast What Matters","15","0","16","21","37","0","52","S",""
"40","C","21","04309899","Toast of Dublin","3","1","10","8","19","0","22","",""
"40","C","22","00003182","New Albany Toastmasters","2","0","22","24","46","0","48","D",""
"40","C","22","00008226","Gahanna Club","3","0","18","17","35","0","38","",""
"40","C","22","01030644","AEP Kilowattmasters","15","1","21","20","42","0","57","D",""
"40","C","22","01293730","New Albany Communicators","7","1","10","11","22","0","29","",""
"40","C","23","00000524","Franklin Club","9","0","22","21","43","0","52","S",""
"40","C","23","00950432","Toaster Treats","10","0","13","13","26","0","36","",""
"40","C","23","01045500","ICC Toastmasters Club","16","6","15","18","39","0","55","P",""
"40","C","23","01816734","Call IT","0","0","0","0","0","0","0","",""
"40","C","23","02671639","Visionmasters East","1","0","0","0","0","0","1","",""
"40","C","23","05412649","Toasterville","0","0","0","0","0","31","31","","Charter 04/15/16"
"40","C","24","00003552","North Star Club","0","0","1","0","1","0","1","",""
"40","C","24","00003885","Podium Pros Toastmasters Club","14","0","38","40","78","0","92","P",""
"40","C","24","00588225","FearBreakers Toastmasters Club","5","0","7","5","12","0","17","",""
"40","C","24","02342070","Logistically Speaking","9","7","19","17","43","0","52","",""
"40","C","24","04908012","Toastmasters - CMHA","3","0","0","26","26","23","52","","Charter 11/20/15"
"40","C","25","00003002","Columbus-Whitehall Club","4","0","14","13","27","0","31","",""
"40","C","25","00003500","AGOISSI Toastmasters Club","15","0","31","27","58","0","73","P",""
"40","C","25","00007114","DFAS-CO Toastmasters Club","12","0","16","21","37","0","49","D",""
"40","C","25","00950446","Flying Toasters Club","0","0","0","0","0","0","0","",""
"40","C","25","03537448","Shoe Lovers","12","0","19","19","38","0","50","",""
"40","C","25","04410308","Defensively Speaking","5","0","11","13","24","0","29","",""
"40","D","31","00001249","West Hills Toastmasters Club","3","0","14","16","30","0","33","",""
"40","D","31","00742749","Kroger Food for Thought Club","11","0","22","20","42","0","53","",""
"40","D","31","00784864","Speak 2 Connect","3","0","6","5","11","0","14","",""
"40","D","31","01491854","A Toast to Genius","10","0","8","17","25","0","35","",""
"40","D","32","00001861","Mt. Auburn Toastmasters","3","0","8","10","18","0","21","",""
"40","D","32","00006474","High Achievers Toastmasters Club","3","0","8","4","12","0","15","",""
"40","D","32","00008020","Bearcat Toastmasters Club","5","0","12","11","23","0","28","",""
"40","D","32","00009319","Cincinnati NIOSH Club","4","0","13","13","26","0","30","",""
"40","D","32","00922067","Environmentally Speaking","7","0","32","28","60","0","67","D",""
"40","D","32","04411219","Healthy Toasters","2","0","16","10","26","0","28","",""
"40","D","33","00002126","Downtown Toastmasters Club","3","0","12","9","21","0","24","",""
"40","D","33","00007083","Cheers Toastmasters","12","0","12","15","27","0","39","",""
"40","D","33","00009056","Speak With US","9","0","21","16","37","0","46","",""
"40","D","33","01655418","MSD Sewer Talk","0","0","9","0","9","0","9","",""
"40","D","34","00002142","Toast-N-Talk Club","1","0","10","7","17","0","18","",""
"40","D","34","00003459","Great American Speakers Club","11","0","34","32","66","0","77","P",""
"40","D","34","00009531","Toast Of Broadway Toastmasters Club","4","0","19","19","38","0","42","",""
"40","D","34","00740572","Toastmasters On the Square Club (TOTS)","9","1","18","19","38","0","47","D",""
"40","D","35","00000453","Pioneer Toastmasters Club","1","0","20","19","39","0","40","",""
"40","D","35","00008416","Articulate Revenuers Toastmasters Club","3","0","15","12","27","0","30","",""
