"District","Division","Area","Club","Club Name","October Renewals","April Renewals","Nov Visit award","May Visit award","Membership to date","Club Goals Met","Distinguished Club","Area Club Base","Area Paid Club Goal for Dist.","Area Paid Club Goal for Select Dist.","Area Paid Club Goal for Pres. Dist.","Total Paid Area Clubs","Area Dist. Club Goal for Dist.","Area Dist. Club Goal for Select Dist.","Area Dist. Club Goal for Pres. Dist.","Total Dist. Area Clubs","Distinguished Area","Division Club Base","Division Paid Club Goal for Dist.","Division Paid Club Goal for Select Dist.","Division Paid Club Goal for Pres. Dist.","Total Paid Division Clubs","Division Dist. Club Goal for Dist.","Division Dist. Club Goal for Select Dist.","Division Dist. Club Goal for Pres. Dist.","Total Dist. Division Clubs","Distinguished Division","Charter Date/Suspend Date"
"40","B","41","00002391","Lexington Toastmasters Club","1","1","1","1","17","8","","3","3","3","4","3","2","3","3","1","Distinguished","11","11","11","12","10","5","5","6","0","",""
"40","B","41","00002949","Sunrise TM Club","1","1","0","1","32","5","D","3","3","3","4","3","2","3","3","1","Distinguished","11","11","11","12","10","5","5","6","0","",""
"40","B","41","00004942","Bluegrass Advanced Toastmasters Club","1","0","1","1","2","2","","3","3","3","4","3","2","3","3","1","Distinguished","11","11","11","12","10","5","5","6","0","",""
"40","B","41","01990654","Midway Toastmasters","1","1","0","1","18","2","","3","3","3","4","3","2","3","3","1","Distinguished","11","11","11","12","10","5","5","6","0","","Charter 09/26/11"
"40","B","42","00004097","Madco Club","0","0","0","0","5","1","","4","4","4","5","3","2","3","3","0","","11","11","11","12","10","5","5","6","0","",""
"40","B","42","00004271","TM of The Bluegrass Club","1","1","0","0","19","5","","4","4","4","5","3","2","3","3","0","","11","11","11","12","10","5","5","6","0","",""
"40","B","42","00007661","Clark County Toastmasters Club","1","1","0","0","12","3","","4","4","4","5","3","2","3","3","0","","11","11","11","12","10","5","5","6","0","",""
"40","B","42","00008718","Lexington Leaders Club","1","1","0","0","9","2","","4","4","4","5","3","2","3","3","0","","11","11","11","12","10","5","5","6","0","",""
"40","B","42","02110152","EKU Toastmasters","0","1","0","0","20","0","","4","4","4","5","3","2","3","3","0","","11","11","11","12","10","5","5","6","0","","Charter 12/05/11"
"40","B","43","00002730","Capital City Club","1","1","1","1","20","3","","4","4","4","5","4","2","3","3","0","","11","11","11","12","10","5","5","6","0","",""
"40","B","43","00005517","Lexmark Club","1","1","0","1","13","2","","4","4","4","5","4","2","3","3","0","","11","11","11","12","10","5","5","6","0","",""
"40","B","43","00007305","Downtown Lunch Bunch Toastmasters Club","1","1","1","1","14","1","","4","4","4","5","4","2","3","3","0","","11","11","11","12","10","5","5","6","0","",""
"40","B","43","01183543","Georgetown Royal Toastmasters","0","1","1","1","6","1","","4","4","4","5","4","2","3","3","0","","11","11","11","12","10","5","5","6","0","",""
"40","C","11","00000859","Northwest Club","1","1","1","1","20","6","D","4","4","4","5","5","2","3","3","2","Distinguished","31","31","31","32","32","13","14","16","0","President's Distinguished",""
"40","C","11","00004158","Hilliard Toastmasters Club","1","1","1","1","9","4","","4","4","4","5","5","2","3","3","2","Distinguished","31","31","31","32","32","13","14","16","0","President's Distinguished",""
"40","C","11","00004915","Central Ohio Advanced Club","1","1","1","0","16","10","P","4","4","4","5","5","2","3","3","2","Distinguished","31","31","31","32","32","13","14","16","0","President's Distinguished",""
"40","C","11","00005093","Battelle Toastmasters Club","1","1","1","1","23","4","","4","4","4","5","5","2","3","3","2","Distinguished","31","31","31","32","32","13","14","16","0","President's Distinguished",""
"40","C","11","02116422","BIRI Toastmasters","0","1","0","0","24","0","","4","4","4","5","5","2","3","3","2","Distinguished","31","31","31","32","32","13","14","16","0","President's Distinguished","Charter 01/18/12"
"40","C","12","00000753","Nationwide","1","1","1","1","47","6","D","5","5","5","6","6","3","4","4","3","President's Distinguished","31","31","31","32","32","13","14","16","0","President's Distinguished",""
"40","C","12","00002718","Nationwide Club","1","1","1","1","21","7","S","5","5","5","6","6","3","4","4","3","President's Distinguished","31","31","31","32","32","13","14","16","0","President's Distinguished",""
"40","C","12","00994399","The Elite Yack Club","1","1","1","1","29","7","S","5","5","5","6","6","3","4","4","3","President's Distinguished","31","31","31","32","32","13","14","16","0","President's Distinguished",""
"40","C","12","01015118","Nationwide Rings Road","1","1","1","1","17","3","","5","5","5","6","6","3","4","4","3","President's Distinguished","31","31","31","32","32","13","14","16","0","President's Distinguished",""
