"District","Division","Area","Club","Club Name","October Renewals","April Renewals","Nov Visit award","May Visit award","Membership to date","Club Goals Met","Distinguished Club","Area Club Base","Area Paid Club Goal for Dist.","Area Paid Club Goal for Select Dist.","Area Paid Club Goal for Pres. Dist.","Total Paid Area Clubs","Area Dist. Club Goal for Dist.","Area Dist. Club Goal for Select Dist.","Area Dist. Club Goal for Pres. Dist.","Total Dist. Area Clubs","Distinguished Area","Division Club Base","Division Paid Club Goal for Dist.","Division Paid Club Goal for Select Dist.","Division Paid Club Goal for Pres. Dist.","Total Paid Division Clubs","Division Dist. Club Goal for Dist.","Division Dist. Club Goal for Select Dist.","Division Dist. Club Goal for Pres. Dist.","Total Dist. Division Clubs","Distinguished Division","Charter Date/Suspend Date"
"40","A","11","00000405","Dayton Toastmasters Club","1","0","1","0","21","4","","5","5","5","6","4","3","4","4","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","11","00001694","Dayton United Communicators Club","1","0","1","0","13","6","","5","5","5","6","4","3","4","4","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","11","00588286","Dayton Top Mentors Toastmasters Club","1","0","1","0","14","6","","5","5","5","6","4","3","4","4","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","11","01331177","Downtown Morning Toasters","1","0","1","0","20","5","","5","5","5","6","4","3","4","4","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","11","02158270","Heartbeat Toastmasters","0","0","1","0","1","0","","5","5","5","6","4","3","4","4","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","12","00002421","Beacon Toastmasters Club","1","0","1","0","8","0","","3","3","3","4","3","2","3","3","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","12","00004532","Wright-Flyers ","0","0","0","0","6","0","","3","3","3","4","3","2","3","3","0","","17","17","17","18","17","7","8","9","0",""," Susp 09/30/24"
"40","A","12","00008187","Tarmac Toastmasters Club","1","0","1","0","11","1","","3","3","3","4","3","2","3","3","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","12","07273470","Wright Way Toastmasters","1","0","1","0","23","8","","3","3","3","4","3","2","3","3","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","13","00002120","Kettering Toastmasters Club","1","0","1","0","10","1","","6","6","6","7","6","3","4","4","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","13","00007241","Hi-Point Club","1","0","1","0","11","1","","6","6","6","7","6","3","4","4","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","13","00631540","Springboro Toastmasters","1","0","1","0","14","4","","6","6","6","7","6","3","4","4","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","13","01739738","Copeland Sidney Toastmasters","1","0","1","0","14","3","","6","6","6","7","6","3","4","4","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","13","04334989","Crown Toastmasters","1","0","1","0","23","3","","6","6","6","7","6","3","4","4","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","13","07264780","Synchrony – CWC","1","0","1","0","28","8","","6","6","6","7","6","3","4","4","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","14","00585063","Springfield Toastmasters Club","1","0","1","0","9","3","","3","3","3","4","4","2","3","3","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","14","05124110","Miami County Toastmasters","0","0","1","0","4","0","","3","3","3","4","4","2","3","3","0","","17","17","17","18","17","7","8","9","0",""," Susp 09/30/24"
"40","A","14","06793986","Assurant-Springfield Toastmasters","1","0","1","0","20","4","","3","3","3","4","4","2","3","3","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","14","07017426","Leaders on the Rise","1","0","1","0","8","0","","3","3","3","4","4","2","3","3","0","","17","17","17","18","17","7","8","9","0","",""
"40","A","14","28678180","Alkermes Toastmasters","0","0","0","0","33","1","","3","3","3","4","4","2","3","3","0","","17","17","17","18","17","7","8","9","0","","Charter 11/01/24"
"40","B","21","00000214","Greater Columbus Toastmasters","1","0","1","0","12","1","","6","6","6","7","4","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
"40","B","21","00000859","Northwest Club","1","0","1","0","9","1","","6","6","6","7","4","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
"40","B","21","00002246","Excellcomm Club","1","0","1","0","9","1","","6","6","6","7","4","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
"40","B","21","02451490","2Checkout","0","0","1","0","6","0","","6","6","6","7","4","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
"40","B","21","03374578","Dynamic  Growth Toastmasters","0","0","1","0","7","1","","6","6","6","7","4","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
"40","B","21","03812990","Eagles Toastmasters","1","0","1","0","8","1","","6","6","6","7","4","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
"40","B","22","00000478","OCLC Toastmasters Club","1","0","1","0","15","1","","5","5","5","6","5","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
"40","B","22","00004158","Hilliard Toastmasters Club","1","0","1","0","9","1","","5","5","5","6","5","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
"40","B","22","01131982","Premier Toastmasters","1","0","1","0","12","1","","5","5","5","6","5","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
"40","B","22","02884105","Dublin Premier TM Club","1","0","1","0","14","2","","5","5","5","6","5","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
"40","B","22","28676676","Central Ohio ISSA","1","0","1","0","8","0","","5","5","5","6","5","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
"40","B","23","00005156","Delaware Toastmasters","1","0","1","0","32","6","","5","5","5","6","5","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
"40","B","23","01293737","MY CATALYST TMC","1","0","1","0","10","5","","5","5","5","6","5","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
"40","B","23","01508639","Scotts Gro-Masters","1","0","1","0","15","1","","5","5","5","6","5","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
"40","B","23","01684414","Marysville E.C.H.O.S.","1","0","1","0","10","1","","5","5","5","6","5","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
"40","B","23","07330683","TM-one Toastmasters","1","0","1","0","23","1","","5","5","5","6","5","3","4","4","0","","27","27","27","28","23","11","13","14","0","",""
