"District","Division","Area","Club","Club Name","October Renewals","April Renewals","Nov Visit award","May Visit award","Membership to date","Club Goals Met","Distinguished Club","Area Club Base","Area Paid Club Goal for Dist.","Area Paid Club Goal for Select Dist.","Area Paid Club Goal for Pres. Dist.","Total Paid Area Clubs","Area Dist. Club Goal for Dist.","Area Dist. Club Goal for Select Dist.","Area Dist. Club Goal for Pres. Dist.","Total Dist. Area Clubs","Distinguished Area","Division Club Base","Division Paid Club Goal for Dist.","Division Paid Club Goal for Select Dist.","Division Paid Club Goal for Pres. Dist.","Total Paid Division Clubs","Division Dist. Club Goal for Dist.","Division Dist. Club Goal for Select Dist.","Division Dist. Club Goal for Pres. Dist.","Total Dist. Division Clubs","Distinguished Division","Charter Date/Suspend Date"
"40","A","01","00000405","Dayton Toastmasters Club","1","1","1","0","10","7","","5","5","5","6","4","3","4","4","1","","39","39","39","40","31","16","18","20","5","",""
"40","A","01","00000747","City of Dayton Toastmasters Club","1","1","1","0","6","1","","5","5","5","6","4","3","4","4","1","","39","39","39","40","31","16","18","20","5","",""
"40","A","01","00001108","Kittyhawk Club","1","1","1","0","9","3","","5","5","5","6","4","3","4","4","1","","39","39","39","40","31","16","18","20","5","",""
"40","A","01","01330791","Sinclair","1","0","1","0","2","3","","5","5","5","6","4","3","4","4","1","","39","39","39","40","31","16","18","20","5","",""
"40","A","01","01331177","Downtown Morning Toasters","1","1","1","0","21","9","P","5","5","5","6","4","3","4","4","1","","39","39","39","40","31","16","18","20","5","",""
"40","A","02","00001242","Huffman Prairie Toastmasters Club","1","1","1","1","15","4","","4","4","4","5","3","2","3","3","0","","39","39","39","40","31","16","18","20","5","",""
"40","A","02","00004532","Wright-Flyers ","1","1","1","1","11","4","","4","4","4","5","3","2","3","3","0","","39","39","39","40","31","16","18","20","5","",""
"40","A","02","00005586","Command Performers Club","1","0","1","0","0","0","","4","4","4","5","3","2","3","3","0","","39","39","39","40","31","16","18","20","5","",""
"40","A","02","00008187","Tarmac Toastmasters Club","1","1","1","1","14","4","","4","4","4","5","3","2","3","3","0","","39","39","39","40","31","16","18","20","5","",""
"40","A","03","00000553","Megacity Toastmasters Club","1","1","0","0","9","5","","4","4","4","5","4","2","3","3","1","","39","39","39","40","31","16","18","20","5","",""
"40","A","03","00001740","Miami Valley Toastmasters","1","1","0","0","17","5","D","4","4","4","5","4","2","3","3","1","","39","39","39","40","31","16","18","20","5","",""
"40","A","03","00002120","Kettering Toastmasters Club","1","1","0","0","16","5","","4","4","4","5","4","2","3","3","1","","39","39","39","40","31","16","18","20","5","",""
"40","A","03","00631540","Springboro Coffee Talk","1","1","0","0","13","3","","4","4","4","5","4","2","3","3","1","","39","39","39","40","31","16","18","20","5","",""
"40","A","04","00001210","Hogge Creek Club","0","0","1","0","5","1","","5","5","5","6","4","3","4","4","1","","39","39","39","40","31","16","18","20","5","",""
"40","A","04","00004341","Lima Eye Openers Club","1","1","1","0","8","0","","5","5","5","6","4","3","4","4","1","","39","39","39","40","31","16","18","20","5","",""
"40","A","04","00005136","Grand Lake Toastmasters Club","1","1","1","0","8","2","","5","5","5","6","4","3","4","4","1","","39","39","39","40","31","16","18","20","5","",""
"40","A","04","00008144","Shelby County Club","1","1","0","0","10","1","","5","5","5","6","4","3","4","4","1","","39","39","39","40","31","16","18","20","5","",""
