"District","Division","Area","Club","Club Name","October Renewals","April Renewals","Nov Visit award","May Visit award","Membership to date","Club Goals Met","Distinguished Club","Area Club Base","Area Paid Club Goal for Dist.","Area Paid Club Goal for Select Dist.","Area Paid Club Goal for Pres. Dist.","Total Paid Area Clubs","Area Dist. Club Goal for Dist.","Area Dist. Club Goal for Select Dist.","Area Dist. Club Goal for Pres. Dist.","Total Dist. Area Clubs","Distinguished Area","Division Club Base","Division Paid Club Goal for Dist.","Division Paid Club Goal for Select Dist.","Division Paid Club Goal for Pres. Dist.","Total Paid Division Clubs","Division Dist. Club Goal for Dist.","Division Dist. Club Goal for Select Dist.","Division Dist. Club Goal for Pres. Dist.","Total Dist. Division Clubs","Distinguished Division","Charter Date/Suspend Date"
"40","B","41","00002391","Lexington Toastmasters Club","1","1","1","0","25","9","P","4","4","4","5","3","2","3","3","1","","12","12","12","13","11","5","6","6","1","",""
"40","B","41","00002949","Sunrise TM Club","1","1","1","0","19","5","","4","4","4","5","3","2","3","3","1","","12","12","12","13","11","5","6","6","1","",""
"40","B","41","00004942","Wilderness Trace - Advanced Club","0","1","1","0","8","3","","4","4","4","5","3","2","3","3","1","","12","12","12","13","11","5","6","6","1","",""
"40","B","42","00004097","Madco Club","1","1","0","0","7","2","","4","4","4","5","4","2","3","3","0","","12","12","12","13","11","5","6","6","1","",""
"40","B","42","00004271","TM of The Bluegrass Club","1","1","0","0","11","3","","4","4","4","5","4","2","3","3","0","","12","12","12","13","11","5","6","6","1","",""
"40","B","42","00007661","Clark County Toastmasters Club","1","1","0","0","13","1","","4","4","4","5","4","2","3","3","0","","12","12","12","13","11","5","6","6","1","",""
"40","B","42","00008718","Lexington Leaders Club","1","1","0","0","14","4","","4","4","4","5","4","2","3","3","0","","12","12","12","13","11","5","6","6","1","",""
"40","B","43","00002730","Capital City Club","1","1","1","0","11","3","","4","4","4","5","4","2","3","3","0","","12","12","12","13","11","5","6","6","1","",""
"40","B","43","00005517","Lexmark Club","1","1","1","0","9","3","","4","4","4","5","4","2","3","3","0","","12","12","12","13","11","5","6","6","1","",""
"40","B","43","00007305","Downtown Lunch Bunch Toastmasters Club","1","1","1","0","19","4","","4","4","4","5","4","2","3","3","0","","12","12","12","13","11","5","6","6","1","",""
"40","B","43","01183543","Georgetown Royal Toastmasters","1","1","1","0","7","4","","4","4","4","5","4","2","3","3","0","","12","12","12","13","11","5","6","6","1","",""
"40","C","11","00000859","Northwest Club","1","1","1","0","9","5","","4","4","4","5","4","2","3","3","0","","27","27","27","28","27","11","13","14","7","",""
"40","C","11","00000959","Columbus Toastmasters Club","1","1","1","0","15","2","","4","4","4","5","4","2","3","3","0","","27","27","27","28","27","11","13","14","7","",""
"40","C","11","00004158","Hilliard Toastmasters Club","1","1","1","0","7","2","","4","4","4","5","4","2","3","3","0","","27","27","27","28","27","11","13","14","7","",""
"40","C","11","00005093","Battelle Toastmasters Club","1","1","1","0","19","4","","4","4","4","5","4","2","3","3","0","","27","27","27","28","27","11","13","14","7","",""
"40","C","12","00000753","Nationwide Insurance Club","1","1","1","1","31","8","S","5","5","5","6","5","3","4","4","2","","27","27","27","28","27","11","13","14","7","",""
"40","C","12","00002718","Nationwide Club","1","1","1","1","15","7","S","5","5","5","6","5","3","4","4","2","","27","27","27","28","27","11","13","14","7","",""
"40","C","12","00994399","The Elite Yack Club","1","1","1","1","12","5","","5","5","5","6","5","3","4","4","2","","27","27","27","28","27","11","13","14","7","",""
"40","C","12","01015118","Nationwide Rings Road","1","1","1","1","15","5","","5","5","5","6","5","3","4","4","2","","27","27","27","28","27","11","13","14","7","",""
"40","C","12","01029419","Nationwide Parkwood","1","1","1","1","10","4","","5","5","5","6","5","3","4","4","2","","27","27","27","28","27","11","13","14","7","",""
"40","C","13","00001745","Columbus Communicators","1","1","1","0","10","4","","5","5","5","6","5","3","4","4","1","","27","27","27","28","27","11","13","14","7","",""
"40","C","13","00001802","Mid-Day Club","1","1","1","0","19","7","","5","5","5","6","5","3","4","4","1","","27","27","27","28","27","11","13","14","7","",""
"40","C","13","00008082","The Breakfast Club","1","1","1","0","41","3","","5","5","5","6","5","3","4","4","1","","27","27","27","28","27","11","13","14","7","",""
"40","C","13","00952869","AEP Toastmasters","1","1","1","0","28","8","S","5","5","5","6","5","3","4","4","1","","27","27","27","28","27","11","13","14","7","",""
"40","C","13","01029504","AEP Power Speakers","1","1","1","0","20","4","","5","5","5","6","5","3","4","4","1","","27","27","27","28","27","11","13","14","7","",""
"40","C","14","00000214","The Greater Columbus Toastmasters","1","1","1","1","19","6","","5","5","5","6","5","3","4","4","1","","27","27","27","28","27","11","13","14","7","",""
"40","C","14","00000478","OCLC Toastmasters Club","1","1","1","1","17","6","","5","5","5","6","5","3","4","4","1","","27","27","27","28","27","11","13","14","7","",""
"40","C","14","00001028","Worthington Club","1","1","1","1","14","4","","5","5","5","6","5","3","4","4","1","","27","27","27","28","27","11","13","14","7","",""
"40","C","14","00005447","Sawmill Toastmasters Club","1","1","1","1","21","7","S","5","5","5","6","5","3","4","4","1","","27","27","27","28","27","11","13","14","7","",""
"40","C","14","01149175","Ashland Blazers","1","1","1","1","7","3","","5","5","5","6","5","3","4","4","1","","27","27","27","28","27","11","13","14","7","",""
"40","C","15","00004695","Unity Club","1","1","1","0","22","8","S","4","4","4","5","4","2","3","3","2","Distinguished","27","27","27","28","27","11","13","14","7","",""
"40","C","15","00749359","Anthem Toastmasters On High Club","1","1","1","0","21","4","","4","4","4","5","4","2","3","3","2","Distinguished","27","27","27","28","27","11","13","14","7","",""
"40","C","15","01131982","Premier Toastmasters","1","1","1","0","34","3","","4","4","4","5","4","2","3","3","2","Distinguished","27","27","27","28","27","11","13","14","7","",""
"40","C","15","01276053","Technical Talkers","1","1","1","0","21","7","S","4","4","4","5","4","2","3","3","2","Distinguished","27","27","27","28","27","11","13","14","7","",""
"40","C","16","00005155","Down On Third Toastmasters Club","1","1","1","1","9","1","","4","4","4","5","4","2","3","3","1","","27","27","27","28","27","11","13","14","7","",""
"40","C","16","00009099","Children's Hospital Club","1","1","1","0","13","3","","4","4","4","5","4","2","3","3","1","","27","27","27","28","27","11","13","14","7","",""
"40","C","16","00621016","Brewery District Club","1","1","1","1","39","8","S","4","4","4","5","4","2","3","3","1","","27","27","27","28","27","11","13","14","7","",""
"40","C","16","00826327","Camp Sherman Club","0","1","1","0","6","0","","4","4","4","5","4","2","3","3","1","","27","27","27","28","27","11","13","14","7","",""
"40","E","21","00000511","Moundbuilders Club","1","1","1","1","12","3","","4","4","4","5","4","2","3","3","2","Distinguished","25","25","25","26","27","10","12","13","10","Distinguished",""
"40","E","21","00002698","The Good Neighbor Toastmasters Club","1","1","1","1","30","8","S","4","4","4","5","4","2","3","3","2","Distinguished","25","25","25","26","27","10","12","13","10","Distinguished",""
"40","E","21","00003182","New Albany Toastmasters","1","1","1","1","20","6","D","4","4","4","5","4","2","3","3","2","Distinguished","25","25","25","26","27","10","12","13","10","Distinguished",""
