"District","Division","Area","Club","Club Name","October Renewals","April Renewals","Nov Visit award","May Visit award","Membership to date","Club Goals Met","Distinguished Club","Area Club Base","Area Paid Club Goal for Dist.","Area Paid Club Goal for Select Dist.","Area Paid Club Goal for Pres. Dist.","Total Paid Area Clubs","Area Dist. Club Goal for Dist.","Area Dist. Club Goal for Select Dist.","Area Dist. Club Goal for Pres. Dist.","Total Dist. Area Clubs","Distinguished Area","Division Club Base","Division Paid Club Goal for Dist.","Division Paid Club Goal for Select Dist.","Division Paid Club Goal for Pres. Dist.","Total Paid Division Clubs","Division Dist. Club Goal for Dist.","Division Dist. Club Goal for Select Dist.","Division Dist. Club Goal for Pres. Dist.","Total Dist. Division Clubs","Distinguished Division","Charter Date/Suspend Date"
"40","0D","0A","00001210","Hogge Creek Club","0","0","0","0","0","0","","0","0","0","1","0","0","1","1","0","","0","0","0","1","0","0","0","0","0","",""
"40","A","01","00000405","Dayton Toastmasters Club","1","0","1","0","1","5","","4","4","4","5","2","2","3","3","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","01","00000747","City of Dayton Toastmasters Club","1","0","1","0","4","0","","4","4","4","5","2","2","3","3","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","01","00001108","Kittyhawk Club","1","1","1","0","13","3","","4","4","4","5","2","2","3","3","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","01","01330791","Sinclair","1","0","1","0","1","1","","4","4","4","5","2","2","3","3","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","01","01331177","Downtown Morning Toasters","1","1","1","0","26","9","P","4","4","4","5","2","2","3","3","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","02","00001242","Huffman Prairie Toastmasters Club","1","1","1","1","19","4","","6","6","6","7","4","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","02","00002421","Beacon Club","1","1","1","0","22","7","S","6","6","6","7","4","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","02","00004532","Wright-Flyers ","1","1","1","1","8","2","","6","6","6","7","4","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","02","00005586","Command Performers Club","1","0","1","0","0","0","","6","6","6","7","4","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","02","00008187","Tarmac Toastmasters Club","1","1","1","1","15","5","","6","6","6","7","4","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","02","00732139","Wright State Toastmasters","1","0","1","1","5","3","","6","6","6","7","4","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","03","00000553","Megacity Toastmasters Club","1","1","1","0","8","1","","5","5","5","6","6","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","03","00001740","Miami Valley Toastmasters","1","1","1","0","25","8","S","5","5","5","6","6","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","03","00002120","Kettering Toastmasters Club","1","1","1","0","18","6","","5","5","5","6","6","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","03","00631540","Springboro Coffee Talk","1","1","1","0","9","3","","5","5","5","6","6","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","03","02615720","WINning Communicators","1","1","1","0","25","2","","5","5","5","6","6","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","03","03797950","Teradata Toastmasters Club","0","0","0","0","20","1","","5","5","5","6","6","3","4","4","1","","32","32","32","33","26","13","15","16","4","","Charter 04/01/14"
"40","A","04","00001238","Greenville Club","1","1","1","0","14","4","","5","5","5","6","4","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","04","00004341","Lima Eye Openers Club","1","0","1","0","6","0","","5","5","5","6","4","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","04","00005136","Grand Lake Toastmasters Club","1","1","1","0","11","4","","5","5","5","6","4","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","04","00008144","Shelby County Club","1","1","1","0","8","3","","5","5","5","6","4","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","04","01739738","Emerson Climate Toastmasters","1","1","1","0","23","5","D","5","5","5","6","4","3","4","4","1","","32","32","32","33","26","13","15","16","4","",""
"40","A","05","00002159","Aquinas Toastmasters Club","1","1","1","0","7","2","","3","3","3","4","2","2","3","3","0","","32","32","32","33","26","13","15","16","4","",""
"40","A","05","00009297","Vandalia Toastmasters Club","1","1","1","0","8","1","","3","3","3","4","2","2","3","3","0","","32","32","32","33","26","13","15","16","4","",""
"40","A","05","00585063","Springfield Toastmasters Club","1","1","1","0","19","9","","3","3","3","4","2","2","3","3","0","","32","32","32","33","26","13","15","16","4","",""
"40","A","05","00635245","Leaders on the Rise Toastmasters Club","0","0","0","0","0","0","","3","3","3","4","2","2","3","3","0","","32","32","32","33","26","13","15","16","4","",""
"40","A","06","00001694","Dayton United Communicators Club","1","1","1","0","10","2","","5","5","5","6","4","3","4","4","0","","32","32","32","33","26","13","15","16","4","",""
"40","A","06","00588286","Dayton Top Mentors Toastmasters Club","1","1","1","0","12","3","","5","5","5","6","4","3","4","4","0","","32","32","32","33","26","13","15","16","4","",""
"40","A","06","01216711","CMG Headliners","1","0","1","0","1","0","","5","5","5","6","4","3","4","4","0","","32","32","32","33","26","13","15","16","4","",""
"40","A","06","01323782","Deloitte Dayton Office Toastmasters","1","1","0","0","8","3","","5","5","5","6","4","3","4","4","0","","32","32","32","33","26","13","15","16","4","",""
"40","A","06","02158270","Heartbeat Toastmasters","1","1","0","0","11","5","","5","5","5","6","4","3","4","4","0","","32","32","32","33","26","13","15","16","4","",""
"40","A","07","00001206","Mid Day Cabaret Club","1","1","1","0","12","4","","4","4","4","5","4","2","3","3","0","","32","32","32","33","26","13","15","16","4","",""
"40","A","07","00003255","Mound Club 3255","1","1","1","0","8","1","","4","4","4","5","4","2","3","3","0","","32","32","32","33","26","13","15","16","4","",""
"40","A","07","00940665","Toastmasters @ 9797","1","1","1","0","12","3","","4","4","4","5","4","2","3","3","0","","32","32","32","33","26","13","15","16","4","",""
"40","A","07","01126147","LJB Toastmasters","1","1","1","0","29","0","","4","4","4","5","4","2","3","3","0","","32","32","32","33","26","13","15","16","4","",""
