"District","Division","Area","Club Number","Club Name","Club Status","Mem. Base","Active Members","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Level 5s, or DTM award","Add. Level 4s, Level 5s, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"40","A","01","00000405","Dayton Toastmasters Club","Active","18","12","3","3","1","0","1","0","0","4","2","7","5","1","1","1",""
"40","A","01","00001694","Dayton United Communicators Club","Active","20","18","9","5","2","3","5","1","5","4","3","7","5","1","1","1",""
"40","A","01","00588286","Dayton Top Mentors Toastmasters Club","Active","21","10","5","1","2","0","1","1","1","0","0","7","7","1","1","1",""
"40","A","01","01331177","Downtown Morning Toasters","Active","21","20","8","5","2","1","4","1","3","4","0","7","4","1","1","1","S"
"40","A","01","02158270","Heartbeat Toastmasters","Low","9","7","0","0","0","0","0","0","0","0","0","6","3","0","0","1",""
"40","A","02","00002421","Beacon Toastmasters Club","Active","16","9","5","3","2","0","2","1","0","2","0","5","5","1","1","1",""
"40","A","02","00004532","Wright-Flyers ","Active","8","8","1","0","0","0","0","0","0","1","0","0","3","1","1","1",""
"40","A","02","00008187","Tarmac Toastmasters Club","Active","11","12","2","1","0","0","0","1","0","2","0","2","5","1","1","1",""
"40","A","02","07273470","Wright Way Toastmasters","Active","14","22","9","6","2","0","2","1","1","4","15","5","6","1","1","1","P"
"40","A","03","00000553","Megacity Toastmasters Club","Low","15","7","4","2","1","0","1","1","1","3","0","7","5","1","0","1",""
"40","A","03","00001206","RELX Communicators","Active","10","9","4","5","1","0","0","1","0","2","0","5","7","1","1","1",""
"40","A","03","00001740","Miami Valley Toastmasters","Active","13","10","1","1","0","0","0","0","0","2","0","2","3","0","1","1",""
"40","A","03","00002120","Kettering Toastmasters Club","Active","11","11","3","2","0","0","0","1","0","3","0","6","6","1","1","1",""
"40","A","03","00631540","Springboro Toastmasters","Active","20","16","6","1","2","0","2","1","0","4","3","7","5","1","1","1",""
"40","A","03","07264780","Synchrony - Kettering","Active","24","26","10","7","2","3","4","1","5","4","5","4","4","1","1","1","P"
"40","A","04","00001238","Greenville Club","Suspended","9","6","3","4","2","1","1","1","0","1","0","5","3","0","0","1",""
