"District","Division","Area","Club Number","Club Name","Club Status","Mem. Base","Active Members","Goals Met","CCs","Add. CCs","ACs","Add. ACs","CL/AL/DTMs","Add. CL/AL/DTMs","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"40","A","01","00000405","Dayton Toastmasters Club","Active","20","13","4","1","0","0","0","1","0","4","0","7","5","1","1","1",""
"40","A","01","00000747","City of Dayton Toastmasters Club","Active","11","14","5","0","0","1","0","0","0","4","13","4","4","0","1","1",""
"40","A","01","00001108","Kittyhawk Club","Active","13","10","2","1","0","0","0","0","0","1","0","4","5","1","1","1",""
"40","A","01","01330791","Sinclair","Suspended","14","0","0","0","0","0","0","0","0","0","0","6","2","0","0","1",""
"40","A","01","01331177","Downtown Morning Toasters","Active","29","25","9","2","3","1","0","1","3","4","8","4","6","1","1","1","P"
"40","A","02","00001242","Huffman Prairie Toastmasters Club","Active","20","15","4","0","0","0","0","1","0","4","0","7","4","1","1","1",""
"40","A","02","00002421","Beacon Toastmasters Club of Beavercreek","Active","22","20","9","2","0","1","1","1","2","4","4","6","5","1","1","1","P"
"40","A","02","00004532","Wright-Flyers ","Active","17","18","8","2","0","1","0","1","1","4","8","4","6","1","1","1",""
"40","A","02","00008187","Tarmac Toastmasters Club","Active","10","16","7","2","0","1","0","1","0","4","4","5","6","1","1","1","S"
"40","A","02","00732139","Wright State Toastmasters","Active","8","8","4","0","0","0","0","0","0","4","5","6","6","0","1","2",""
"40","A","03","00000553","Megacity Toastmasters Club","Active","14","12","2","0","0","0","0","0","0","4","0","5","1","1","1","1",""
"40","A","03","00001740","Miami Valley Toastmasters","Active","16","19","7","0","0","1","0","1","1","4","6","7","5","1","1","1",""
"40","A","03","00002120","Kettering Toastmasters Club","Active","30","24","4","1","0","0","0","0","0","4","8","6","4","1","1","1",""
"40","A","03","00631540","Springboro Coffee Talk","Active","13","9","5","1","0","1","2","1","0","3","0","7","4","1","1","1",""
"40","A","03","02615720","WINning Communicators","Active","29","24","5","2","0","0","0","1","0","4","0","5","4","1","1","1","D"
"40","A","04","00001238","Greenville Club","Active","14","8","0","1","0","0","0","0","0","0","0","5","0","0","0","1",""
"40","A","04","00004341","Lima Eye Openers Club","Suspended","8","5","0","0","0","0","0","0","0","2","0","0","0","0","0","0",""
"40","A","04","00005136","Grand Lake Toastmasters Club","Active","13","10","2","2","0","0","0","0","0","0","0","2","3","1","1","1",""
"40","A","04","00007241","Hi-Point Club","Active","13","6","2","0","0","0","0","0","0","4","1","3","2","1","0","1",""
"40","A","04","00008144","Shelby County Club","Suspended","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","A","04","01739738","Emerson Climate Toastmasters","Active","19","19","4","1","0","1","0","1","0","4","1","2","0","1","1","1",""
"40","A","04","04334989","Crown Toastmasters","Active","61","66","7","2","4","0","0","1","4","4","21","0","0","1","1","1","S"
"40","A","06","00001694","Dayton United Communicators Club","Active","14","12","6","2","0","1","1","0","0","4","2","4","5","1","1","1",""
"40","A","06","00009297","Vandalia Toastmasters Club","Active","13","9","2","0","0","0","0","0","0","2","0","5","6","1","1","1",""
"40","A","06","00585063","Springfield Toastmasters Club","Active","20","20","9","2","3","1","1","1","8","4","2","4","4","1","1","1","P"
"40","A","06","00588286","Dayton Top Mentors Toastmasters Club","Active","9","9","4","0","0","0","0","1","1","1","0","7","7","1","1","1",""
"40","A","06","01323782","Deloitte Dayton Office Toastmasters","Suspended","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","A","06","02158270","Heartbeat Toastmasters","Active","20","18","4","1","0","0","0","0","0","4","7","5","5","1","1","1",""
"40","A","06","05124110","Miami County Toastmasters","Active","22","23","2","0","0","0","0","1","0","1","0","0","0","1","1","1",""
"40","A","07","00001206","RELX Communicators","Active","20","15","5","2","1","1","2","0","0","4","1","2","2","1","1","1",""
