"District","Division","Area","Club Number","Club Name","Club Status","Mem. Base","Active Members","Goals Met","CCs","Add. CCs","ACs","Add. ACs","CL/AL/DTMs","Add. CL/AL/DTMs","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s","Level 5s","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"40","A","01","00000405","Dayton Toastmasters Club","Active","16","17","3","1","0","0","0","0","0","1","0","0","0","0","0","4","0","7","4","1","1","1",""
"40","A","01","00000747","City of Dayton Toastmasters Club","Active","14","9","4","0","0","1","0","1","0","0","0","0","0","0","0","1","0","7","5","1","0","1",""
"40","A","01","00001108","Kittyhawk Club","Active","11","10","6","0","0","0","0","1","1","1","1","0","1","1","1","3","0","6","6","1","1","1",""
"40","A","01","01331177","Downtown Morning Toasters","Active","39","33","6","1","0","1","0","1","1","2","0","0","0","0","0","4","0","4","4","1","1","1",""
"40","A","01","02158270","Heartbeat Toastmasters","Active","28","26","4","1","0","0","0","0","0","3","0","0","0","0","0","4","8","6","5","1","1","2",""
"40","A","02","00001242","Huffman Prairie Toastmasters Club","Active","17","15","4","0","0","0","0","0","0","0","0","0","0","0","0","4","4","7","5","1","1","1",""
"40","A","02","00002421","Beacon Toastmasters Club","Active","19","17","5","1","0","1","0","1","5","0","0","0","0","0","0","3","0","4","4","1","1","1",""
"40","A","02","00004532","Wright-Flyers ","Active","20","22","8","1","0","1","0","1","1","3","2","1","3","0","0","4","3","5","4","1","1","1",""
"40","A","02","00008187","Tarmac Toastmasters Club","Active","11","10","2","0","0","0","0","0","0","1","1","0","0","0","0","2","0","6","5","1","1","1",""
"40","A","02","07017426","Leaders on the Rise","Active","20","13","3","0","0","0","0","0","0","1","1","0","0","0","0","4","1","4","4","1","1","1",""
"40","A","03","00000553","Megacity Toastmasters Club","Active","10","8","4","2","0","0","0","1","0","2","1","0","1","0","0","0","0","4","4","1","0","1",""
