"District","Division","Area","Club Number","Club Name","Club Status","Mem. Base","Active Members","Goals Met","CCs","Add. CCs","ACs","Add. ACs","CL/AL/DTMs","Add. CL/AL/DTMs","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"40","A","01","00000405","Dayton Toastmasters Club","Active","20","13","3","0","0","0","0","0","0","4","0","5","4","1","1","1",""
"40","A","01","00000747","City of Dayton Toastmasters Club","Active","10","8","5","0","0","1","0","1","0","4","0","5","4","0","1","1",""
"40","A","01","00001108","Kittyhawk Club","Active","20","12","2","1","0","0","0","0","0","3","0","5","4","1","1","1",""
"40","A","01","01330791","Sinclair","Active","9","10","1","0","0","0","0","0","0","4","3","4","2","1","1","0",""
"40","A","01","01331177","Downtown Morning Toasters","Active","27","27","8","1","0","1","2","1","1","4","9","7","5","1","1","1","S"
"40","A","02","00001242","Huffman Prairie Toastmasters Club","Active","22","16","6","1","0","1","0","1","2","4","0","5","4","1","1","1",""
"40","A","02","00002421","Beacon Club","Active","24","21","7","1","0","1","1","1","1","4","1","6","5","1","1","1","S"
"40","A","02","00004532","Wright-Flyers ","Active","9","14","9","2","0","1","1","1","1","4","8","6","4","1","1","1","P"
"40","A","02","00005586","Command Performers Club","Suspended","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","A","02","00008187","Tarmac Toastmasters Club","Active","15","9","3","2","0","0","0","1","0","2","0","6","3","1","1","1",""
"40","A","02","00732139","Wright State Toastmasters","Active","9","5","1","2","0","0","0","0","0","2","0","6","3","0","0","2",""
"40","A","03","00000553","Megacity Toastmasters Club","Active","11","14","2","1","0","0","0","0","0","4","2","3","0","1","1","1",""
"40","A","03","00001740","Miami Valley Toastmasters","Active","28","16","3","2","1","0","0","0","0","2","0","7","4","1","1","1",""
"40","A","03","00002120","Kettering Toastmasters Club","Active","22","25","5","0","0","0","0","1","0","4","11","7","4","1","1","1","D"
"40","A","03","00631540","Springboro Coffee Talk","Active","16","9","2","0","0","0","0","1","0","2","0","4","2","1","1","1",""
"40","A","03","02615720","WINning Communicators","Active","29","28","6","0","0","0","0","1","1","4","11","5","4","1","1","1","D"
"40","A","04","00001238","Greenville Club","Active","17","13","3","0","0","1","2","0","0","1","0","6","3","1","1","1",""
"40","A","04","00004341","Lima Eye Openers Club","Active","8","7","0","1","0","0","0","0","0","2","0","0","0","0","0","1",""
"40","A","04","00005136","Grand Lake Toastmasters Club","Active","13","13","3","2","0","0","0","0","0","4","0","2","1","1","1","1",""
"40","A","04","00007241","Hi-Point Club","Active","12","10","2","1","0","0","0","0","0","4","4","3","2","1","1","0",""
"40","A","04","00008144","Shelby County Club","Active","8","0","1","0","0","0","0","0","0","4","0","2","2","0","0","1",""
"40","A","04","04334989","Crown Toastmasters","Active","52","61","3","0","0","0","0","0","0","4","5","0","1","1","1","1",""
"40","A","05","00002159","Aquinas Toastmasters Club","Active","8","9","2","0","0","0","0","0","0","2","0","4","5","1","1","1",""
"40","A","05","00009297","Vandalia Toastmasters Club","Active","8","10","3","1","0","0","0","0","0","4","3","5","4","0","1","1",""
"40","A","05","00585063","Springfield Toastmasters Club","Active","23","19","7","1","0","1","2","1","1","4","4","4","1","1","1","1",""
"40","A","05","01739738","Emerson Climate Toastmasters","Active","26","16","2","1","0","1","0","0","0","3","0","5","2","1","1","1",""
"40","A","06","00001694","Dayton United Communicators Club","Active","13","9","2","1","0","1","0","0","0","3","0","4","2","1","1","1",""
"40","A","06","00588286","Dayton Top Mentors Toastmasters Club","Active","13","9","4","2","1","0","0","1","0","2","0","7","5","1","1","1",""
"40","A","06","01216711","CMG Headliners","Suspended","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","A","06","01323782","Deloitte Dayton Office Toastmasters","Active","10","0","2","1","0","1","0","0","0","3","0","2","2","1","0","1",""
"40","A","06","02158270","Heartbeat Toastmasters","Active","20","13","7","2","0","1","0","1","3","4","1","6","6","1","1","2",""
"40","A","07","00001206","Mid Day Cabaret Club","Active","15","14","4","0","0","1","0","0","0","4","0","6","4","1","1","1",""
"40","A","07","00003255","Mound Club 3255","Suspended","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",""
"40","A","07","00940665","Toastmasters @ 9797","Active","12","8","3","0","0","0","0","1","0","4","0","2","3","1","0","1",""
"40","A","07","01126147","LJB Toastmasters","Active","29","30","2","0","0","0","0","0","0","4","0","1","0","1","1","1",""
"40","A","07","03797950","Teradata Toastmasters Club","Active","20","12","1","0","0","0","0","0","0","1","0","1","0","1","1","1",""
"40","B","11","00000859","Northwest Club","Active","23","16","7","1","0","1","0","1","2","4","11","6","4","1","1","1",""
"40","B","11","00000959","Columbus Toastmasters Club","Active","18","13","4","2","1","0","0","0","0","4","8","4","2","1","1","1",""
"40","B","11","00004158","Hilliard Toastmasters Club","Active","10","13","4","1","0","0","0","0","0","4","5","5","5","1","1","1",""
"40","B","11","00004915","Central Ohio Advanced Club","Active","13","9","3","0","0","0","0","1","0","3","0","7","5","1","1","1",""
"40","B","11","02451490","2Checkout","Active","10","8","5","1","0","1","0","1","1","4","8","0","1","1","1","0",""
"40","B","11","03374578","Dynamic DISH Toastmasters","Active","46","33","4","2","1","0","0","0","0","4","8","4","0","1","1","1",""
"40","B","12","00002246","Excellcomm Club","Active","17","12","5","1","0","1","1","1","1","0","0","5","4","1","1","0",""
"40","B","12","00002718","Toastmasters @ Tuttle  #2718","Active","20","17","4","1","0","0","0","0","0","4","5","6","5","1","1","1",""
"40","B","12","00005447","Sawmill Toastmasters Club","Active","16","16","3","1","0","0","0","0","0","4","0","6","4","1","1","1",""
"40","B","12","01015118","Rings Road Toastmasters","Active","18","8","1","0","0","0","0","0","0","4","3","5","0","1","0","0",""
"40","B","12","01149175","Trailblazers","Active","11","9","5","2","1","0","0","1","1","3","0","4","4","1","1","1",""
"40","B","12","03812990","Eagles Toastmasters","Active","38","25","2","0","0","0","0","0","0","4","3","6","0","1","1","1",""
"40","B","13","00005156","Delaware Toastmasters","Active","16","16","6","1","0","0","0","1","1","4","5","5","5","1","1","1",""
