"District","Division","Area","Club Number","Club Name","Club Status","Mem. Base","Active Members","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Level 5s, or DTM award","Add. Level 4s, Level 5s, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"40","A","01","00000405","Dayton Toastmasters Club","Active","14","18","6","1","0","0","0","1","1","4","8","5","4","1","1","1","D"
"40","A","01","00001694","Dayton United Communicators Club","Active","20","15","6","1","2","0","2","1","4","3","0","7","7","1","1","1",""
"40","A","01","00588286","Dayton Top Mentors Toastmasters Club","Active","10","12","4","2","0","0","0","1","1","3","0","7","7","1","1","1",""
"40","A","01","01331177","Downtown Morning Toasters","Active","20","21","8","6","2","1","3","1","3","4","3","6","5","1","1","1","S"
"40","A","01","02158270","Heartbeat Toastmasters","Low","8","5","1","0","0","0","0","0","0","2","0","4","1","1","0","1",""
"40","A","02","00002421","Beacon Toastmasters Club","Active","9","8","3","1","0","0","1","1","0","1","0","6","5","1","1","1",""
"40","A","02","00004532","Wright-Flyers ","Active","8","8","1","0","0","0","0","0","0","0","0","4","4","1","1","0",""
"40","A","02","00008187","Tarmac Toastmasters Club","Active","12","11","3","0","1","0","0","1","0","0","0","5","4","1","1","1",""
"40","A","02","07273470","Wright Way Toastmasters","Active","23","21","7","3","2","0","0","1","1","4","4","5","7","1","1","1","S"
"40","A","03","00000553","Megacity Toastmasters Club","Suspended","7","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0",""
"40","A","03","00001740","Miami Valley Toastmasters","Low","11","7","0","0","0","0","0","0","0","2","0","0","3","0","0","0",""
"40","A","03","00002120","Kettering Toastmasters Club","Active","11","9","2","1","0","0","0","0","0","4","0","3","5","1","0","1",""
"40","A","03","00631540","Springboro Toastmasters","Active","20","17","7","2","0","0","2","1","1","4","4","5","6","1","1","1",""
"40","A","03","07264780","Synchrony – CWC","Active","26","29","10","10","2","2","2","1","4","4","15","5","4","1","1","1","P"
"40","A","04","00001206","RELX Communicators","Low","10","3","2","0","0","0","0","1","0","0","0","5","4","0","0","1",""
"40","A","04","00001238","Greenville Club","Suspended","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","A","04","00004341","Lima Eye Openers Club","Low","8","4","0","0","0","0","0","0","0","1","0","1","0","0","0","1",""
"40","A","04","00007241","Hi-Point Club","Active","9","9","4","0","0","0","0","1","1","4","0","6","1","1","0","1",""
"40","A","04","01739738","Emerson Toastmasters - Sidney, Ohio","Active","15","12","3","2","0","0","1","1","0","3","0","5","4","1","1","1",""
"40","A","04","04334989","Crown Toastmasters","Ineligible","23","0","2","0","0","0","0","0","0","4","5","0","2","0","0","0",""
"40","A","05","00585063","Springfield Toastmasters Club","Active","20","9","7","3","2","2","3","1","0","4","3","5","6","1","0","1",""
"40","A","05","05124110","Miami County Toastmasters","Active","15","12","6","3","2","1","2","1","0","4","3","6","5","1","1","1",""
"40","A","05","06547513","Cause-Driven Toastmasters","Suspended","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","A","05","06793986","Assurant-Springfield Toastmasters","Ineligible","9","0","6","1","2","0","3","0","0","4","11","7","5","1","0","1",""
"40","A","05","07017426","Leaders on the Rise","Active","8","8","1","1","0","0","0","0","0","4","3","1","1","0","0","1",""
"40","B","11","00000214","Greater Columbus Toastmasters","Active","12","12","6","2","2","0","1","1","1","4","1","5","6","1","1","1",""
"40","B","11","00000859","Northwest Club","Active","10","8","1","0","1","0","0","0","0","1","0","5","2","1","0","1",""
"40","B","11","02116422","Hikma Professionals","Suspended","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","B","11","02451490","2Checkout","Active","13","9","1","1","0","0","0","0","0","4","0","3","3","0","1","0",""
"40","B","11","05168204","Grove City Toastmasters","Active","12","11","4","1","2","0","0","0","0","4","1","4","5","1","1","1",""
"40","B","12","00000478","OCLC Toastmasters Club","Low","12","5","1","0","1","0","0","0","0","0","0","1","1","1","0","1",""
"40","B","12","01825615","Progressive Speaking Club","Active","21","11","6","3","1","0","2","1","0","4","4","5","5","1","1","1",""
"40","B","12","02884105","Dublin Premier TM Club","Active","10","11","3","1","1","0","1","0","0","4","10","1","1","1","1","1",""
"40","B","12","03374578","Dynamic  Growth Toastmasters","Active","8","8","3","0","0","0","0","1","0","2","0","4","5","1","0","1",""
"40","B","12","07219299","Radiant Toastmasters","Ineligible","7","1","1","0","0","0","0","0","0","2","0","4","1","1","0","1",""
"40","B","14","00002246","Excellcomm Club","Low","9","5","2","1","0","0","0","1","1","2","0","4","3","0","0","0",""
"40","B","14","00004158","Hilliard Toastmasters Club","Low","8","6","0","0","0","0","0","0","0","2","0","2","4","0","0","1",""
"40","B","14","01131982","Premier Toastmasters","Active","16","12","2","1","1","0","1","0","0","4","1","6","0","1","1","1",""
"40","B","14","01276053","Essential To Leadership","Low","7","7","1","1","0","0","0","0","0","2","0","6","5","0","0","1",""
"40","B","15","01293737","MY CATALYST TMC","Active","11","11","9","4","2","2","2","1","1","4","2","7","7","1","1","1",""
"40","B","15","01508639","Scotts Gro-Masters","Active","15","8","4","1","1","0","2","1","0","3","0","7","6","1","1","1",""
"40","B","15","01684414","Marysville E.C.H.O.S.","Active","0","11","2","0","0","0","0","0","0","4","9","0","0","0","1","0",""
"40","B","15","04181643","Dublin Advanced Toastmasters","Low","6","7","3","1","1","0","1","1","1","3","0","7","7","0","0","1",""
"40","B","15","07330683","TM-one Toastmasters","Active","23","11","1","0","0","0","0","0","0","1","0","5","0","1","1","1",""
"40","B","18","00000959","Columbus Toastmasters Club","Low","8","6","0","0","0","0","0","0","0","2","0","2","4","0","0","1",""
"40","B","18","00004695","Unity Club","Ineligible","8","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0",""
"40","B","18","00004915","Central Ohio Advanced Club","Active","16","11","4","2","1","0","1","1","1","1","0","5","5","1","1","1",""
