"District","Division","Area","Club Number","Club Name","Club Status","Mem. Base","Active Members","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Level 5s, or DTM award","Add. Level 4s, Level 5s, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"40","A","01","00000405","Dayton Toastmasters Club","Active","14","15","4","3","1","0","1","1","0","4","2","6","4","1","1","1",""
"40","A","01","00001108","Kittyhawk Club","Low","8","3","2","1","0","0","0","0","0","0","0","4","5","1","0","1",""
"40","A","01","01331177","Downtown Morning Toasters","Active","23","21","6","7","2","1","1","1","0","4","2","4","5","1","1","1","D"
"40","A","01","02158270","Heartbeat Toastmasters","Active","11","9","4","1","0","0","1","1","0","4","0","4","5","1","1","2",""
"40","A","02","00001242","Huffman Prairie Toastmasters Club","Low","18","6","2","0","0","0","0","0","0","0","0","7","5","1","0","1",""
"40","A","02","00002421","Beacon Toastmasters Club","Active","11","11","6","4","2","0","1","1","0","4","2","4","7","1","1","1",""
"40","A","02","00004532","Wright-Flyers ","Active","9","8","1","0","0","0","0","0","0","1","0","4","3","1","1","1",""
"40","A","02","00008187","Tarmac Toastmasters Club","Active","16","11","2","0","0","0","0","0","0","0","0","4","4","1","1","1",""
"40","A","02","07017426","Leaders on the Rise","Active","8","11","2","1","0","0","0","0","0","4","2","4","3","0","1","1",""
"40","A","02","07273470","Wright Way Toastmasters","Active","9","11","7","4","2","1","1","1","0","4","4","5","6","1","1","1",""
"40","A","03","00000553","Megacity Toastmasters Club","Active","13","14","6","2","2","0","2","1","0","4","1","4","4","1","1","1",""
"40","A","03","00001740","Miami Valley Toastmasters","Active","13","12","2","2","1","0","1","0","0","3","0","4","6","1","1","1",""
"40","A","03","00002120","Kettering Toastmasters Club","Active","15","10","3","1","0","0","0","1","0","0","0","4","4","1","1","1",""
"40","A","03","00631540","Springboro Toastmasters","Active","17","20","10","4","2","2","4","1","1","4","4","5","6","1","1","1","P"
"40","A","03","07264780","Synchrony - Kettering","Active","22","24","3","0","0","0","0","0","0","4","2","4","4","1","1","1",""
"40","A","04","00001238","Greenville Club","Active","16","9","2","0","0","0","1","1","0","0","0","5","4","0","1","0",""
"40","A","04","00004341","Lima Eye Openers Club","Active","14","8","1","0","0","0","0","0","0","1","0","4","2","1","0","1",""
"40","A","04","00005136","Grand Lake Toastmasters Club","Active","8","8","1","0","0","0","0","0","0","0","0","0","0","1","1","1",""
"40","A","04","00007241","Hi-Point Club","Active","12","8","1","0","0","0","0","0","0","0","0","4","1","1","1","1",""
"40","A","04","01739738","Emerson Toastmasters - Sidney, Ohio","Active","12","10","2","3","2","0","0","0","0","3","0","0","2","0","1","2",""
"40","A","04","04334989","Crown Toastmasters","Active","46","19","0","0","0","0","0","0","0","0","0","4","3","0","0","1",""
"40","A","05","00009297","Vandalia Toastmasters Club","Ineligible","8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1",""
"40","A","05","00585063","Springfield Toastmasters Club","Active","21","19","10","7","2","3","3","1","2","4","9","7","7","1","1","2",""
"40","A","05","05124110","Miami County Toastmasters","Active","13","8","1","2","0","0","1","0","0","3","0","5","2","0","1","1",""
"40","A","05","06547513","Cause-Driven Toastmasters","Active","14","11","5","3","2","0","2","1","0","2","0","4","5","1","1","2",""
"40","A","05","06793986","Assurant-Springfield Toastmasters","Active","27","8","3","1","2","0","1","0","0","2","0","7","5","1","1","1",""
"40","A","06","00001206","RELX Communicators","Active","11","9","3","1","2","0","1","0","0","3","0","6","4","1","1","1",""
"40","A","06","00001694","Dayton United Communicators Club","Active","20","17","9","2","2","2","4","1","9","4","5","7","7","1","1","1",""
"40","A","06","00588286","Dayton Top Mentors Toastmasters Club","Active","13","12","6","4","2","0","1","1","2","1","0","7","7","1","1","1",""
"40","A","06","02615720","WINning Communicators","Ineligible","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","B","11","00000859","Northwest Club","Low","10","3","1","0","0","0","0","0","0","0","0","5","5","0","0","1",""
"40","B","11","00002718","Masterminds At Grandview Yard","Active","11","10","2","0","0","0","0","0","0","3","0","5","6","1","1","1",""
"40","B","11","02116422","Hikma Professionals","Active","18","8","2","0","0","0","0","0","0","2","0","5","6","1","1","1",""
"40","B","11","02451490","2Checkout","Active","8","8","7","4","2","0","2","1","1","3","0","7","6","1","1","1",""
"40","B","11","05168204","Grove City Toastmasters","Active","16","7","2","0","0","0","0","1","0","3","0","5","6","0","0","1",""
"40","B","12","00000214","Greater Columbus Toastmasters","Active","13","12","6","4","2","1","3","0","0","4","2","5","6","0","1","1",""
"40","B","12","01825615","Progressive Speaking Club","Active","17","12","8","4","2","0","1","1","1","4","4","5","7","1","1","1",""
"40","B","12","03374578","Dynamic  Growth Toastmasters","Active","9","8","3","0","0","0","0","0","0","4","1","5","4","0","1","1",""
"40","B","12","07219299","Radiant Toastmasters","Active","16","13","3","0","1","0","1","1","0","3","0","7","6","1","1","1",""
"40","B","13","00000478","OCLC Toastmasters Club","Active","23","22","3","1","1","0","1","1","0","0","0","5","4","1","1","1",""
"40","B","13","00005447","Sawmill Toastmasters Club","Ineligible","8","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1",""
"40","B","13","01131982","Premier Toastmasters","Active","21","16","6","1","1","0","1","1","3","4","4","7","6","1","1","1",""
"40","B","13","02884105","Dublin Premier TM Club","Active","12","10","3","3","0","0","0","0","0","4","3","5","6","1","1","1",""
"40","B","14","00002246","Excellcomm Club","Active","15","9","2","0","0","0","0","0","0","2","0","5","6","1","0","1",""
"40","B","14","00004158","Hilliard Toastmasters Club","Active","8","8","1","1","0","0","0","0","0","0","0","6","5","0","0","1",""
"40","B","14","01276053","Essential To Leadership","Low","10","7","1","1","1","0","1","0","0","3","0","5","5","0","0","1",""
"40","B","14","04181643","Dublin Advanced Toastmasters","Active","11","10","5","2","1","0","2","1","2","3","0","7","7","1","1","1",""
"40","B","14","06722000","Wings With Voices","Active","14","9","5","3","2","1","1","1","0","4","0","5","5","1","1","1",""
